PSTAR: Stopping Powers and Range Tables for Protons

BONE, COMPACT (ICRU)                                                    

Kinetic   Electron. Nuclear   Total     CSDA      Projected 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2     

3.000E+00 1.065E+02 6.903E-02 1.065E+02 1.655E-02 1.648E-02 
6.000E+00 6.272E+01 3.649E-02 6.276E+01 5.473E-02 5.456E-02 
9.000E+00 4.560E+01 2.505E-02 4.562E+01 1.116E-01 1.113E-01 
1.200E+01 3.626E+01 1.915E-02 3.628E+01 1.859E-01 1.854E-01 
1.500E+01 3.032E+01 1.554E-02 3.033E+01 2.768E-01 2.761E-01 
1.800E+01 2.618E+01 1.310E-02 2.619E+01 3.835E-01 3.826E-01 
2.100E+01 2.312E+01 1.133E-02 2.313E+01 5.057E-01 5.045E-01 
2.400E+01 2.076E+01 9.996E-03 2.077E+01 6.428E-01 6.413E-01 
2.700E+01 1.888E+01 8.946E-03 1.889E+01 7.944E-01 7.927E-01 
3.000E+01 1.735E+01 8.100E-03 1.736E+01 9.602E-01 9.582E-01 
3.300E+01 1.607E+01 7.403E-03 1.608E+01 1.140E+00 1.138E+00 
3.600E+01 1.499E+01 6.819E-03 1.499E+01 1.333E+00 1.331E+00 
3.900E+01 1.406E+01 6.322E-03 1.406E+01 1.540E+00 1.537E+00 
4.200E+01 1.325E+01 5.895E-03 1.326E+01 1.760E+00 1.756E+00 
4.500E+01 1.254E+01 5.522E-03 1.255E+01 1.993E+00 1.989E+00 
4.800E+01 1.192E+01 5.195E-03 1.192E+01 2.238E+00 2.233E+00 
5.100E+01 1.136E+01 4.905E-03 1.137E+01 2.496E+00 2.491E+00 
5.400E+01 1.086E+01 4.647E-03 1.087E+01 2.766E+00 2.760E+00 
5.700E+01 1.041E+01 4.415E-03 1.042E+01 3.048E+00 3.042E+00 
6.000E+01 1.000E+01 4.205E-03 1.001E+01 3.342E+00 3.335E+00 
6.300E+01 9.628E+00 4.015E-03 9.632E+00 3.647E+00 3.640E+00 
6.600E+01 9.287E+00 3.842E-03 9.291E+00 3.965E+00 3.957E+00 
6.900E+01 8.973E+00 3.683E-03 8.977E+00 4.293E+00 4.285E+00 
7.200E+01 8.684E+00 3.538E-03 8.687E+00 4.633E+00 4.624E+00 
7.500E+01 8.416E+00 3.403E-03 8.420E+00 4.984E+00 4.974E+00 
7.800E+01 8.168E+00 3.279E-03 8.171E+00 5.345E+00 5.335E+00 
8.100E+01 7.936E+00 3.164E-03 7.939E+00 5.718E+00 5.707E+00 
8.400E+01 7.720E+00 3.056E-03 7.724E+00 6.101E+00 6.090E+00 
8.700E+01 7.519E+00 2.956E-03 7.522E+00 6.495E+00 6.483E+00 
9.000E+01 7.329E+00 2.862E-03 7.332E+00 6.899E+00 6.886E+00 
9.300E+01 7.152E+00 2.775E-03 7.154E+00 7.313E+00 7.300E+00 
9.600E+01 6.984E+00 2.692E-03 6.987E+00 7.737E+00 7.723E+00 
9.900E+01 6.826E+00 2.615E-03 6.829E+00 8.172E+00 8.157E+00 
1.020E+02 6.677E+00 2.542E-03 6.680E+00 8.616E+00 8.601E+00 
1.050E+02 6.536E+00 2.473E-03 6.539E+00 9.070E+00 9.054E+00 
1.080E+02 6.403E+00 2.407E-03 6.405E+00 9.534E+00 9.517E+00 
1.110E+02 6.276E+00 2.346E-03 6.278E+00 1.001E+01 9.989E+00 
1.140E+02 6.155E+00 2.287E-03 6.157E+00 1.049E+01 1.047E+01 
1.170E+02 6.040E+00 2.231E-03 6.043E+00 1.098E+01 1.096E+01 
1.200E+02 5.931E+00 2.178E-03 5.933E+00 1.148E+01 1.146E+01 
1.230E+02 5.827E+00 2.128E-03 5.829E+00 1.199E+01 1.197E+01 
1.260E+02 5.727E+00 2.079E-03 5.729E+00 1.251E+01 1.249E+01 
1.290E+02 5.632E+00 2.033E-03 5.634E+00 1.304E+01 1.302E+01 
1.320E+02 5.541E+00 1.989E-03 5.543E+00 1.358E+01 1.355E+01 
1.350E+02 5.454E+00 1.947E-03 5.456E+00 1.412E+01 1.410E+01 
